撇,撇
嘉,嘉
摧,摧
截,截
誓,誓
境,境
摘,摘
摔,摔
聚,聚
蔽,蔽
慕,慕
暮,暮
蔑,蔑
模,模
榴,榴
榜,榜
榨,榨
歌,歌
遭,遭
酷,酷
酿,釀
酸,酸
磁,磁
愿,願
需,需
弊,弊
裳,裳
颗,顆
嗽,嗽
蜻,蜻
蜡,蠟
蝇,蠅
蜘,蜘
赚,賺
锹,鍬
锻,鍛
舞,舞
稳,穩
算,算
箩,籮
管,管
僚,僚
鼻,鼻
魄,魄
貌,貌
膜,膜
膊,膊
膀,膀
鲜,鮮
疑,疑
馒,饅
裹,裹
敲,敲
豪,豪
膏,膏
遮,遮
腐,腐
瘦,瘦
辣,辣
竭,竭
端,端
旗,旗
精,精
歉,歉
熄,熄
熔,熔
漆,漆
漂,漂
漫,漫
滴,滴
演,演
漏,漏
慢,慢
寨,寨
赛,賽
察,察
蜜,蜜
谱,譜
嫩,嫩
翠,翠
熊,熊
凳,凳
骡,騾
缩,縮
慧,慧
撕,撕
撒,撒
趣,趣
趟,趟
撑,撐
播,播
撞,撞
撤,撤
增,增
聪,聰
鞋,鞋
蕉,蕉
蔬,蔬
横,橫
槽,槽
樱,櫻
橡,橡
飘,飄
醋,醋
醉,醉
震,震
霉,黴
瞒,瞞
题,題
暴,暴
瞎,瞎
影,影
踢,踢
踏,踏
踩,踩
踪,蹤
蝶,蝶
蝴,蝴
嘱,囑
墨,墨
镇,鎮
靠,靠
稻,稻
黎,黎
稿,稿
稼,稼
箱,箱
箭,箭
篇,篇
僵,僵
躺,躺
僻,僻
德,德
艘,艘
膝,膝
膛,膛
熟,熟
摩,摩
颜,顏
毅,毅
糊,糊
遵,遵
潜,潛
潮,潮
懂,懂
额,額
慰,慰
劈,劈
操,操
燕,燕
薯,薯
薪,薪
薄,薄
颠,顛
橘,橘
整,整
融,融
醒,醒
餐,餐
嘴,嘴
蹄,蹄
器,器
赠,贈
默,默
镜,鏡
赞,贊
篮,籃
邀,邀
衡,衡
膨,膨
雕,雕
磨,磨
凝,凝
辨,辨
辩,辯
糖,糖
糕,糕
燃,燃
澡,澡
激,激
懒,懶
壁,壁
避,避
缴,繳
戴,戴
擦,擦
鞠,鞠
藏,藏
霜,霜
霞,霞
瞧,瞧
蹈,蹈
螺,螺
穗,穗
繁,繁
辫,辮
赢,贏
糟,糟
糠,糠
燥,燥
臂,臂
翼,翼
骤,驟
鞭,鞭
覆,覆
蹦,蹦
镰,鐮
翻,翻
鹰,鷹
警,警
攀,攀
蹲,蹲
颤,顫
瓣,瓣
爆,爆
疆,疆
壤,壤
耀,耀
躁,躁
嚼,嚼
嚷,嚷
籍,籍
魔,魔
灌,灌
蠢,蠢
霸,霸
露,露
囊,囊
罐,罐
,
,
,
,
,
匕,匕
刁,刁
丐,丐
歹,歹
戈,戈
夭,夭
仑,侖
讥,譏
冗,冗
邓,鄧
艾,艾
夯,夯
凸,凸
卢,盧
叭,叭
叽,嘰
皿,皿
凹,凹
囚,囚
矢,矢
乍,乍
尔,爾
冯,馮
玄,玄
邦,邦
迂,迂
邢,邢
芋,芋
芍,芍
吏,吏
夷,夷
吁,籲
吕,呂
吆,吆
屹,屹
廷,廷
迄,迄
臼,臼
仲,仲
伦,倫
伊,伊
肋,肋
旭,旭
匈,匈
凫,鳧
妆,妝
亥,亥
汛,汛
讳,諱
讶,訝
讹,訛
讼,訟
诀,訣
弛,弛
阱,阱
驮,馱
驯,馴
